Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0055088~lipid homeostasis	2	15.384615384615385	0.03217691925018147	TREM2, PPARG	13	53	19478	56.53991291727141	0.9999925467279381	0.9063035536488296	0.9063035536488296
GOTERM_BP_DIRECT	GO:0045600~positive regulation of fat cell differentiation	2	15.384615384615385	0.03396955261636348	LPL, PPARG	13	56	19478	53.510989010989015	0.9999961833343044	0.9063035536488296	0.9063035536488296
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	2	15.384615384615385	0.034566420361159506	PPARG, KRT5	13	57	19478	52.572199730094475	0.9999969465801535	0.9063035536488296	0.9063035536488296
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	3	23.076923076923077	0.035147506235688686	CCL2, TREM2, PPARG	13	489	19478	9.192071731949033	0.9999975430662688	0.9063035536488296	0.9063035536488296
KEGG_PATHWAY	hsa03320:PPAR signaling pathway	2	15.384615384615385	0.04375178589504814	LPL, PPARG	6	76	8534	37.42982456140351	0.8402664587622248	1.0	1.0
GOTERM_BP_DIRECT	GO:0001503~ossification	2	15.384615384615385	0.05172923163059078	SPP1, LTF	13	86	19478	34.84436493738819	0.9999999952947459	1.0	1.0
GOTERM_CC_DIRECT	GO:0030141~secretory granule	2	15.384615384615385	0.05292898216758116	SCGB1A1, LTF	13	94	20795	34.03436988543371	0.9524202003961095	0.9880076671281817	0.9880076671281817
GOTERM_BP_DIRECT	GO:0006508~proteolysis	3	23.076923076923077	0.05327724954823732	MMP12, FCN1, LTF	13	615	19478	7.308818011257037	0.9999999973912304	1.0	1.0
GOTERM_BP_DIRECT	GO:0050829~defense response to Gram-negative bacterium	2	15.384615384615385	0.061659697645365115	TREM2, LTF	13	103	19478	29.093353248693056	0.9999999998947812	1.0	1.0
UP_KW_MOLECULAR_FUNCTION	KW-0358~Heparin-binding	2	15.384615384615385	0.061864159616483255	LPL, LTF	9	95	11952	27.957894736842103	0.5640321499446392	0.801717915721314	0.801717915721314
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	2	15.384615384615385	0.06803439909464526	LPL, PPARG	13	114	19478	26.286099865047238	0.9999999999910183	1.0	1.0
GOTERM_BP_DIRECT	GO:0009617~response to bacterium	2	15.384615384615385	0.06918916159568914	LPL, CCL2	13	116	19478	25.83289124668435	0.9999999999942591	1.0	1.0
GOTERM_BP_DIRECT	GO:0061844~antimicrobial humoral immune response mediated by antimicrobial peptide	2	15.384615384615385	0.08009417434504552	CCL2, LTF	13	135	19478	22.197150997151	0.9999999999999185	1.0	1.0
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	2	15.384615384615385	0.08103972701601861	TREM2, PPARG	6	143	8534	19.892773892773892	0.9687272394274538	1.0	1.0
GOTERM_BP_DIRECT	GO:0071456~cellular response to hypoxia	2	15.384615384615385	0.08351345344128551	TREM2, PPARG	13	141	19478	21.25259138025096	0.9999999999999788	1.0	1.0
GOTERM_BP_DIRECT	GO:0030317~flagellated sperm motility	2	15.384615384615385	0.0857864962033161	TEKT1, DNAI1	13	145	19478	20.666312997347482	0.9999999999999913	1.0	1.0
GOTERM_MF_DIRECT	GO:0005515~protein binding	12	92.3076923076923	0.09809478101576002	FCN1, CD163, TEKT1, SCGB1A1, SPP1, LPL, CCL2, TREM2, PPARG, KRT5, DNAI1, LTF	13	13690	19253	1.2981738495252009	0.9999704027811963	1.0	1.0
