"","GSE_ID","title","phenotype","tissuetype"
"GSM350956...100","GSE11784","small airways, non-smoker 118","Healthy Non-Smoker","small_airways"
"GSM350957...101","GSE11784","small airways, smoker 208","Smoker","small_airways"
"GSM350958...102","GSE11784","small airways, smoker 246","Smoker","small_airways"
"GSM364038...103","GSE11784","small airways, COPD 136","Smoker with COPD","small_airways"
"GSM364041...104","GSE11784","small airways, COPD 162","Smoker with COPD","small_airways"
"GSM364045...105","GSE11784","small airways, COPD 176","Smoker with COPD","small_airways"
"GSM364046...106","GSE11784","small airways, smoker 226","Smoker","small_airways"
"GSM364048...107","GSE11784","small airways, smoker 240","Smoker","small_airways"
"GSM410161...108","GSE11784","small airways, non-smoker 124","Healthy Non-Smoker","small_airways"
"GSM410162...109","GSE11784","small airways, non-smoker 138","Healthy Non-Smoker","small_airways"
"GSM410163...110","GSE11784","small airways, non-smoker 141","Healthy Non-Smoker","small_airways"
"GSM410164...111","GSE11784","small airways, smoker 241","Smoker","small_airways"
"GSM410165...112","GSE11784","small airways, smoker 264","Smoker","small_airways"
"GSM434049...113","GSE11784","small airways, non-smoker 109","Healthy Non-Smoker","small_airways"
"GSM434050...114","GSE11784","small airways, non-smoker 119","Healthy Non-Smoker","small_airways"
"GSM434051...115","GSE11784","small airways, non-smoker 128","Healthy Non-Smoker","small_airways"
"GSM434052...116","GSE11784","small airways, non-smoker 137","Healthy Non-Smoker","small_airways"
"GSM434053...117","GSE11784","small airways, smoker 216","Smoker","small_airways"
"GSM434054...118","GSE11784","small airways, smoker 229","Smoker","small_airways"
"GSM434055...119","GSE11784","small airways, smoker 247","Smoker","small_airways"
"GSM434056...120","GSE11784","small airways, smoker 256","Smoker","small_airways"
"GSM434057...121","GSE11784","small airways, smoker 271","Smoker","small_airways"
"GSM434058...122","GSE11784","small airways, smoker 272","Smoker","small_airways"
"GSM434059...123","GSE11784","small airways, smoker 275","Smoker","small_airways"
"GSM434060...124","GSE11784","small airways, smoker 302","Smoker","small_airways"
"GSM434061...125","GSE11784","small airways, smoker 303","Smoker","small_airways"
"GSM434062...126","GSE11784","small airways, smoker 314","Smoker","small_airways"
"GSM434063...127","GSE11784","small airways, smoker 317","Smoker","small_airways"
"GSM434064...128","GSE11784","small airways, COPD 094_2","Smoker with COPD","small_airways"
"GSM458579...129","GSE11784","small airways, non-smoker 132","Healthy Non-Smoker","small_airways"
"GSM458580...130","GSE11784","small airways, non-smoker 155","Healthy Non-Smoker","small_airways"
"GSM458581...131","GSE11784","small airways, non-smoker 163","Healthy Non-Smoker","small_airways"
"GSM458582...132","GSE11784","small airways, non-smoker 169","Healthy Non-Smoker","small_airways"
"GSM469989","GSE11784","small airways, non-smoker 091","Healthy Non-Smoker","small_airways"
"GSM469990","GSE11784","small airways, non-smoker 140","Healthy Non-Smoker","small_airways"
"GSM469991...135","GSE11784","small airways, non-smoker 147","Healthy Non-Smoker","small_airways"
"GSM469992","GSE11784","small airways, non-smoker 151","Healthy Non-Smoker","small_airways"
"GSM469993","GSE11784","small airways, non-smoker 156","Healthy Non-Smoker","small_airways"
"GSM469994","GSE11784","small airways, non-smoker 175","Healthy Non-Smoker","small_airways"
"GSM469995","GSE11784","small airways, non-smoker 179","Healthy Non-Smoker","small_airways"
"GSM469996","GSE11784","small airways, non-smoker 181","Healthy Non-Smoker","small_airways"
"GSM469997","GSE11784","small airways, non-smoker 193","Healthy Non-Smoker","small_airways"
"GSM469998","GSE11784","small airways, non-smoker 199","Healthy Non-Smoker","small_airways"
"GSM469999","GSE11784","small airways, non-smoker 212","Healthy Non-Smoker","small_airways"
"GSM470000...144","GSE11784","small airways, smoker 206","Smoker","small_airways"
"GSM470001","GSE11784","small airways, smoker 215","Smoker","small_airways"
"GSM470002","GSE11784","small airways, smoker 220","Smoker","small_airways"
"GSM470003","GSE11784","small airways, smoker 269","Smoker","small_airways"
"GSM470004","GSE11784","small airways, smoker 276","Smoker","small_airways"
"GSM470005","GSE11784","small airways, smoker 321","Smoker","small_airways"
"GSM470006","GSE11784","small airways, smoker 327","Smoker","small_airways"
"GSM470007","GSE11784","small airways, smoker 328","Smoker","small_airways"
"GSM470008","GSE11784","small airways, smoker 330","Smoker","small_airways"
"GSM470009","GSE11784","small airways, smoker 341","Smoker","small_airways"
"GSM470010","GSE11784","small airways, smoker 353","Smoker","small_airways"
"GSM470011","GSE11784","small airways, smoker 354","Smoker","small_airways"
"GSM470012","GSE11784","small airways, smoker 377","Smoker","small_airways"
"GSM470013","GSE11784","small airways, smoker 392","Smoker","small_airways"
"GSM549651","GSE11784","DGM-00167 [gene_expr]","Unknown","Unknown"
"GSM549667","GSE11784","DGM-10135 [gene_expr]","Unknown","Unknown"
"GSM549669","GSE11784","DGM-10144 [gene_expr]","Unknown","Unknown"
"GSM549670","GSE11784","DGM-10130 [gene_expr]","Unknown","Unknown"
"GSM549672","GSE11784","DGM-01607 [gene_expr]","Unknown","Unknown"
"GSM549673","GSE11784","DGM-01737 [gene_expr]","Unknown","Unknown"
"GSM549674","GSE11784","DGM-01749 [gene_expr]","Unknown","Unknown"
"GSM549675","GSE11784","DGM-01772 [gene_expr]","Unknown","Unknown"
"GSM549676","GSE11784","DGM-01081 [gene_expr]","Unknown","Unknown"
"GSM549677","GSE11784","DGM-01827 [gene_expr]","Unknown","Unknown"
"GSM549678","GSE11784","DGM-02093 [gene_expr]","Unknown","Unknown"
"GSM549679","GSE11784","DGM-02109 [gene_expr]","Unknown","Unknown"
"GSM549680","GSE11784","DGM-02124 [gene_expr]","Unknown","Unknown"
"GSM549782","GSE11784","DGM-00544 [gene_expr]","Unknown","Unknown"
"GSM101095...172","GSE11906","small airways, non-smoker 001, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101096...173","GSE11906","small airways, non-smoker 004, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101097...174","GSE11906","small airways, non-smoker 002, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101098...175","GSE11906","small airways, non-smoker 003, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101100...176","GSE11906","small airways, non-smoker 006, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101101...177","GSE11906","small airways, non-smoker 021, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101102...178","GSE11906","small airways, non-smoker 019, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101103...179","GSE11906","small airways, non-smoker 014, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101104...180","GSE11906","small airways, non-smoker 008, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101105...181","GSE11906","small airways, non-smoker 015, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101106...182","GSE11906","small airways, non-smoker 005, RMA and MAS","Healthy Non-Smoker","small_airways"
"GSM101108...183","GSE11906","small airways, smoker 003, RMA and MAS","Smoker","small_airways"
"GSM101109...184","GSE11906","small airways, smoker 027, RMA and MAS","Smoker","small_airways"
"GSM101110...185","GSE11906","small airways, smoker 033, RMA and MAS","Smoker","small_airways"
"GSM101111...186","GSE11906","small airways, smoker 001, RMA and MAS","Smoker","small_airways"
"GSM101112...187","GSE11906","small airways, smoker 023, RMA and MAS","Smoker","small_airways"
"GSM101113...188","GSE11906","small airways, smoker 048, RMA and MAS","Smoker","small_airways"
"GSM101114...189","GSE11906","small airways, smoker 041, RMA and MAS","Smoker","small_airways"
"GSM101115...190","GSE11906","small airways, smoker 044, RMA and MAS","Smoker","small_airways"
"GSM101116...191","GSE11906","small airways, smoker 049, RMA and MAS","Smoker","small_airways"
"GSM114089...192","GSE11906","small airways, smoker 058, MAS5","Smoker","small_airways"
"GSM114090...193","GSE11906","small airways, smoker 063, MAS5","Smoker","small_airways"
"GSM114092...194","GSE11906","small airways, COPD 008, MAS5","Smoker with COPD","small_airways"
"GSM114094...195","GSE11906","small airways, COPD 015, MAS5","Smoker with COPD","small_airways"
"GSM114095...196","GSE11906","small airways, COPD 020, MAS5","Smoker with COPD","small_airways"
"GSM114107","GSE11906","large airways, non-smoker 005, MAS5","Healthy Non-Smoker","large_airways"
"GSM114108","GSE11906","large airways, non-smoker 008, MAS5","Healthy Non-Smoker","large_airways"
"GSM114109","GSE11906","large airways, non-smoker 030, MAS5","Healthy Non-Smoker","large_airways"
"GSM114110","GSE11906","large airways, smoker 002, MAS5","Smoker","large_airways"
"GSM114112","GSE11906","large airways, smoker 023, MAS5","Smoker","large_airways"
"GSM114114","GSE11906","large airways, smoker 049, MAS5","Smoker","large_airways"
"GSM190149...203","GSE11906","Small airways, non-smoker 011","Healthy Non-Smoker","small_airways"
"GSM190150...204","GSE11906","Small airways, non-smoker 029","Healthy Non-Smoker","small_airways"
"GSM190151...205","GSE11906","small airways, non-smoker 034","Healthy Non-Smoker","small_airways"
"GSM190152...206","GSE11906","Small airways, non-smoker 035","Healthy Non-Smoker","small_airways"
"GSM190153...207","GSE11906","Small airways, non-smoker 036","Healthy Non-Smoker","small_airways"
"GSM190155...208","GSE11906","Small airways, non-smoker 042","Healthy Non-Smoker","small_airways"
"GSM190156...209","GSE11906","small airways, non-smoker 044","Healthy Non-Smoker","small_airways"
"GSM252799","GSE11906","large airways, non-smoker 002","Healthy Non-Smoker","large_airways"
"GSM252803...211","GSE11906","large airways, non-smoker 011","Healthy Non-Smoker","large_airways"
"GSM252805...212","GSE11906","large airways, non-smoker 035","Healthy Non-Smoker","large_airways"
"GSM252806...213","GSE11906","large airways, non-smoker 042","Healthy Non-Smoker","large_airways"
"GSM252807...214","GSE11906","large airways, non-smoker 044","Healthy Non-Smoker","large_airways"
"GSM252811","GSE11906","large airways, smoker 025","Smoker","large_airways"
"GSM252813...216","GSE11906","large airways, smoker 057","Smoker","large_airways"
"GSM252814...217","GSE11906","large airways, smoker 058","Smoker","large_airways"
"GSM252815...218","GSE11906","large airways, smoker 063","Smoker","large_airways"
"GSM252816...219","GSE11906","large airways, smoker 069","Smoker","large_airways"
"GSM252817...220","GSE11906","large airways, smoker 074","Smoker","large_airways"
"GSM252818...221","GSE11906","large airways, smoker 093","Smoker","large_airways"
"GSM252819...222","GSE11906","large airways, smoker 094","Smoker","large_airways"
"GSM252820...223","GSE11906","large airways, smoker 095","Smoker","large_airways"
"GSM252822...224","GSE11906","large airways, smoker 098","Smoker","large_airways"
"GSM252823...225","GSE11906","large airways, smoker 102","Smoker","large_airways"
"GSM252824","GSE11906","large airways, smoker 103","Smoker","large_airways"
"GSM252825...227","GSE11906","large airways, smoker 112","Smoker","large_airways"
"GSM252826...228","GSE11906","large airways, smoker 114","Smoker","large_airways"
"GSM252827...229","GSE11906","large airways, smoker 119","Smoker","large_airways"
"GSM252830...230","GSE11906","small airways, COPD 014","Smoker with COPD","small_airways"
"GSM252833...231","GSE11906","small airways, COPD 036","Smoker with COPD","small_airways"
"GSM252834","GSE11906","small airways, COPD 044","Smoker with COPD","small_airways"
"GSM252835...233","GSE11906","small airways, COPD 046","Smoker with COPD","small_airways"
"GSM252836...234","GSE11906","small airways, COPD 059","Smoker with COPD","small_airways"
"GSM252837...235","GSE11906","small airways, COPD 068","Smoker with COPD","small_airways"
"GSM252838...236","GSE11906","small airways, COPD 074","Smoker with COPD","small_airways"
"GSM252839...237","GSE11906","small airways, COPD 080","Smoker with COPD","small_airways"
"GSM252840","GSE11906","small airways, COPD 094","Smoker with COPD","small_airways"
"GSM252841...239","GSE11906","small airways, COPD 103","Smoker with COPD","small_airways"
"GSM252842","GSE11906","small airways, early-COPD 001","Smoker with COPD","small_airways"
"GSM252843","GSE11906","small airways, early-COPD 009","Smoker with COPD","small_airways"
"GSM252844","GSE11906","small airways, early-COPD 012","Smoker with COPD","small_airways"
"GSM252845","GSE11906","small airways, early-COPD 021","Smoker with COPD","small_airways"
"GSM252846","GSE11906","small airways, early-COPD 037","Smoker with COPD","small_airways"
"GSM252847","GSE11906","small airways, early-COPD 045","Smoker with COPD","small_airways"
"GSM252848","GSE11906","small airways, early-COPD 053","Smoker with COPD","small_airways"
"GSM252849","GSE11906","small airways, early-COPD 054","Smoker with COPD","small_airways"
"GSM252850","GSE11906","small airways, early-COPD 064","Smoker with COPD","small_airways"
"GSM252851","GSE11906","small airways, early-COPD 086","Smoker with COPD","small_airways"
"GSM252852","GSE11906","small airways, early-COPD 114","Smoker with COPD","small_airways"
"GSM252853","GSE11906","small airways, early-COPD 132","Smoker with COPD","small_airways"
"GSM252854","GSE11906","small airways, early-COPD 145","Smoker with COPD","small_airways"
"GSM252871...253","GSE11906","small airways, smoker 040","Smoker","small_airways"
"GSM252876...254","GSE11906","small airways, smoker 057","Smoker","small_airways"
"GSM252878","GSE11906","small airways, smoker 069","Smoker","small_airways"
"GSM252879...256","GSE11906","small airways, smoker 074","Smoker","small_airways"
"GSM252880...257","GSE11906","small airways, smoker 093","Smoker","small_airways"
"GSM252881...258","GSE11906","small airways, smoker 094","Smoker","small_airways"
"GSM252882...259","GSE11906","small airways, smoker 095","Smoker","small_airways"
"GSM252884...260","GSE11906","small airways, smoker 098","Smoker","small_airways"
"GSM252885...261","GSE11906","small airways, smoker 103","Smoker","small_airways"
"GSM254149...262","GSE11906","small airways, non-smoker 045","Healthy Non-Smoker","small_airways"
"GSM254150...263","GSE11906","small airways, non-smoker 059","Healthy Non-Smoker","small_airways"
"GSM254151...264","GSE11906","small airways, non-smoker 071","Healthy Non-Smoker","small_airways"
"GSM254152...265","GSE11906","small airways, non-smoker 078","Healthy Non-Smoker","small_airways"
"GSM254157...266","GSE11906","small airways, smoker 112","Smoker","small_airways"
"GSM254158...267","GSE11906","small airways, smoker 114","Smoker","small_airways"
"GSM254159...268","GSE11906","small airways, smoker 119","Smoker","small_airways"
"GSM254160...269","GSE11906","small airways, smoker 152","Smoker","small_airways"
"GSM254161...270","GSE11906","small airways, smoker 169","Smoker","small_airways"
"GSM254163...271","GSE11906","small airways, COPD 024","Smoker with COPD","small_airways"
"GSM254169...272","GSE11906","small airways, COPD 093","Smoker with COPD","small_airways"
"GSM254172...273","GSE11906","small airways, COPD 110","Smoker with COPD","small_airways"
"GSM254173...274","GSE11906","small airways, COPD 114","Smoker with COPD","small_airways"
"GSM254174...275","GSE11906","small airways, COPD 119","Smoker with COPD","small_airways"
"GSM254175...276","GSE11906","small airways, COPD 122","Smoker with COPD","small_airways"
"GSM254176...277","GSE11906","small airways, COPD 134","Smoker with COPD","small_airways"
"GSM256181...278","GSE11906","large airways, non-smoker 036","Healthy Non-Smoker","large_airways"
"GSM256182...279","GSE11906","large airways, non-smoker 038","Healthy Non-Smoker","large_airways"
"GSM256183...280","GSE11906","large airways, non-smoker 040","Healthy Non-Smoker","large_airways"
"GSM256184...281","GSE11906","large airways, non-smoker 041","Healthy Non-Smoker","large_airways"
"GSM256185...282","GSE11906","large airways, non-smoker 050","Healthy Non-Smoker","large_airways"
"GSM256186...283","GSE11906","large airways, non-smoker 047","Healthy Non-Smoker","large_airways"
"GSM256187...284","GSE11906","large airways, non-smoker 045","Healthy Non-Smoker","large_airways"
"GSM256188...285","GSE11906","large airways, non-smoker 006","Healthy Non-Smoker","large_airways"
"GSM256189...286","GSE11906","large airways, non-smoker 065","Healthy Non-Smoker","large_airways"
"GSM256191...287","GSE11906","large airways, non-smoker 059","Healthy Non-Smoker","large_airways"
"GSM256192...288","GSE11906","large airways, non-smoker 072","Healthy Non-Smoker","large_airways"
"GSM256193...289","GSE11906","large airways, non-smoker 078","Healthy Non-Smoker","large_airways"
"GSM256194...290","GSE11906","large airways, non-smoker 071","Healthy Non-Smoker","large_airways"
"GSM256195...291","GSE11906","large airways, smoker 087","Smoker","large_airways"
"GSM256196...292","GSE11906","large airways, smoker 122","Smoker","large_airways"
"GSM256197...293","GSE11906","large airways, smoker 120","Smoker","large_airways"
"GSM256198...294","GSE11906","large airways, smoker 125","Smoker","large_airways"
"GSM256199...295","GSE11906","large airways, smoker 129","Smoker","large_airways"
"GSM256200","GSE11906","large airways, smoker 090","Smoker","large_airways"
"GSM256201...297","GSE11906","large airways, smoker 130","Smoker","large_airways"
"GSM256202...298","GSE11906","large airways, smoker 134","Smoker","large_airways"
"GSM256203","GSE11906","large airways, smoker 127","Smoker","large_airways"
"GSM256204...300","GSE11906","large airways, smoker 136","Smoker","large_airways"
"GSM256205...301","GSE11906","large airways, smoker 141","Smoker","large_airways"
"GSM256206...302","GSE11906","large airways, smoker 040","Smoker","large_airways"
"GSM256207","GSE11906","large airways, smoker 151","Smoker","large_airways"
"GSM256208...304","GSE11906","large airways, smoker 159","Smoker","large_airways"
"GSM256209...305","GSE11906","large airways, smoker 169","Smoker","large_airways"
"GSM256210...306","GSE11906","large airways, smoker 155","Smoker","large_airways"
"GSM256211...307","GSE11906","large airways, smoker 167","Smoker","large_airways"
"GSM256212...308","GSE11906","large airways, smoker 161","Smoker","large_airways"
"GSM298219...309","GSE11906","small airways, non-smoker 039","Healthy Non-Smoker","small_airways"
"GSM298220...310","GSE11906","small airways, non-smoker 046","Healthy Non-Smoker","small_airways"
"GSM298221...311","GSE11906","small airways, non-smoker 047","Healthy Non-Smoker","small_airways"
"GSM298222...312","GSE11906","small airways, non-smoker 048","Healthy Non-Smoker","small_airways"
"GSM298223...313","GSE11906","small airways, non-smoker 050","Healthy Non-Smoker","small_airways"
"GSM298224...314","GSE11906","small airways, non-smoker 055","Healthy Non-Smoker","small_airways"
"GSM298225...315","GSE11906","small airways, non-smoker 065","Healthy Non-Smoker","small_airways"
"GSM298226...316","GSE11906","small airways, non-smoker 072","Healthy Non-Smoker","small_airways"
"GSM298227...317","GSE11906","small airways, non-smoker 076","Healthy Non-Smoker","small_airways"
"GSM298228...318","GSE11906","small airways, non-smoker 080","Healthy Non-Smoker","small_airways"
"GSM298229...319","GSE11906","small airways, non-smoker 083","Healthy Non-Smoker","small_airways"
"GSM298230...320","GSE11906","small airways, smoker 087","Smoker","small_airways"
"GSM298231...321","GSE11906","small airways, smoker 102","Smoker","small_airways"
"GSM298232...322","GSE11906","small airways, smoker 120","Smoker","small_airways"
"GSM298233...323","GSE11906","small airways, smoker 122","Smoker","small_airways"
"GSM298234...324","GSE11906","small airways, smoker 123","Smoker","small_airways"
"GSM298235...325","GSE11906","small airways, smoker 125","Smoker","small_airways"
"GSM298236...326","GSE11906","small airways, smoker 129","Smoker","small_airways"
"GSM298237...327","GSE11906","small airways, smoker 130","Smoker","small_airways"
"GSM298238...328","GSE11906","small airways, smoker 134","Smoker","small_airways"
"GSM298239...329","GSE11906","small airways, smoker 136","Smoker","small_airways"
"GSM298240...330","GSE11906","small airways, smoker 141","Smoker","small_airways"
"GSM298241...331","GSE11906","small airways, smoker 155","Smoker","small_airways"
"GSM298242...332","GSE11906","small airways, smoker 159","Smoker","small_airways"
"GSM298243...333","GSE11906","small airways, smoker 161","Smoker","small_airways"
"GSM298244...334","GSE11906","small airways, smoker 164","Smoker","small_airways"
"GSM298245...335","GSE11906","small airways, smoker 167","Smoker","small_airways"
"GSM298246...336","GSE11906","small airways, smoker 176","Smoker","small_airways"
"GSM298247...337","GSE11906","small airways, smoker 177","Smoker","small_airways"
"GSM300859...338","GSE11906","small airways, non-smoker 085","Healthy Non-Smoker","small_airways"
"GSM300860","GSE11906","small airways, non-smoker 088","Healthy Non-Smoker","small_airways"
"GSM300861","GSE11906","small airways, smoker 183","Smoker","small_airways"
"GSM300862","GSE11906","small airways, LODs-025","Smoker","small_airways"
"GSM300863","GSE11906","small airways, LODs-034","Smoker","small_airways"
