Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Chemokine-Mediated Signaling Pathway (GO:0070098)	4/47	0.0013301945847540532	0.06222277500876392	0	0	9.187441860465116	60.84319099619513	CCL13;CCL8;CCL7;CCL2
Cellular Response to Chemokine (GO:1990869)	4/48	0.001439664713046099	0.06222277500876392	0	0	8.978181818181818	58.74734138443085	CCL13;CCL8;CCL7;CCL2
Primary Alcohol Metabolic Process (GO:0034308)	4/48	0.001439664713046099	0.06222277500876392	0	0	8.978181818181818	58.74734138443085	AKR1B10;ADH1C;CYP1A1;CYP1B1
Regulation of Glial Cell Apoptotic Process (GO:0034350)	2/6	0.0015116345112816804	0.06222277500876392	0	0	48.99009900990099	318.1693214221626	TREM2;DLL1
Negative Regulation of Membrane Protein Ectodomain Proteolysis (GO:0051045)	2/6	0.0015116345112816804	0.06222277500876392	0	0	48.99009900990099	318.1693214221626	TIMP3;PTPN3
Regulation of Osteoclast Development (GO:2001204)	2/6	0.0015116345112816804	0.06222277500876392	0	0	48.99009900990099	318.1693214221626	LILRB1;LTF
Arachidonate Metabolic Process (GO:0019369)	4/49	0.0015552624057748451	0.06222277500876392	0	0	8.778222222222222	56.76095925306102	ALOX15;CYP1A1;CYP1B1;CYP2F1
Retinol Metabolic Process (GO:0042572)	3/23	0.0015930529746219677	0.06222277500876392	0	0	14.75820895522388	95.07390209622169	ADH1C;CYP1A1;CYP1B1
Long-Chain Fatty Acid Metabolic Process (GO:0001676)	5/85	0.0017811019392301797	0.06356000501877113	0	0	6.192211055276382	39.19993474925023	ALOX15;GSTA1;CYP1A1;CYP1B1;SLC27A2
Regulation of Lipopolysaccharide-Mediated Signaling Pathway (GO:0031664)	3/24	0.0018070387636645207	0.06356000501877113	0	0	14.054726368159203	88.77057676234604	LY96;CD36;LTF
Apoptotic Cell Clearance (GO:0043277)	3/24	0.0018070387636645207	0.06356000501877113	0	0	14.054726368159203	88.77057676234604	FCN1;ALOX15;TREM2
Sensory Perception (GO:0007600)	4/52	0.0019405877643574848	0.06356000501877113	0	0	8.228333333333333	51.384002910676365	MMP12;GPNMB;CCL2;UGT2A1
Determination of Left/Right Symmetry (GO:0007368)	4/52	0.0019405877643574848	0.06356000501877113	0	0	8.228333333333333	51.384002910676365	DNAH5;DLL1;DNAI1;ENKUR
Negative Regulation of Immune System Process (GO:0002683)	4/53	0.0020824584791884187	0.06356000501877113	0	0	8.06	49.76410134401949	COL3A1;TSPAN6;TREM2;FCGR2B
Negative Regulation of Glial Cell Apoptotic Process (GO:0034351)	2/7	0.0021020875228563037	0.06356000501877113	0	0	39.19009900990099	241.60007741930562	TREM2;DLL1
Positive Regulation of Apoptotic Cell Clearance (GO:2000427)	2/7	0.0021020875228563037	0.06356000501877113	0	0	39.19009900990099	241.60007741930562	CCL2;TREM2
Negative Regulation of T Cell Mediated Cytotoxicity (GO:0001915)	2/7	0.0021020875228563037	0.06356000501877113	0	0	39.19009900990099	241.60007741930562	LILRB1;FCGR2B
Regulation of Neuron Apoptotic Process (GO:0043523)	6/129	0.0021059037807424166	0.06356000501877113	0	0	4.846760285784676	29.870634796279834	TOX3;PTPRZ1;CCL2;TREM2;FCGR2B;ISL1
Fatty Acid Metabolic Process (GO:0006631)	6/130	0.002189421097593217	0.06461224928008427	0	0	4.807429130009775	29.44126379328835	ALOX15;CYP1A1;LPL;PPARG;CD36;SLC27A2
Regulation of Tumor Necrosis Factor Production (GO:0032680)	6/131	0.0022754136035028722	0.06569020142286552	0	0	4.768727272727273	29.020535405034778	LPL;LY96;LILRB1;FCGR2B;ISL1;LTF
Phagocytosis, Engulfment (GO:0006911)	3/27	0.002553455244170713	0.07064559508872306	0	0	12.296019900497512	73.41102400386812	ITGAM;CD36;FCGR2B
Plasma Membrane Invagination (GO:0099024)	3/27	0.002553455244170713	0.07064559508872306	0	0	12.296019900497512	73.41102400386812	ITGAM;CD36;FCGR2B
Receptor-Mediated Endocytosis (GO:0006898)	6/136	0.00274413149356243	0.07109883160051274	0	0	4.584149184149184	27.03864427048628	ITGAM;MRC1;LILRB1;CD36;FCGR2B;DLL1
Negative Regulation of Production of Molecular Mediator of Immune Response (GO:0002701)	2/8	0.0027839903939959804	0.07109883160051274	0	0	32.65676567656766	192.14816343516293	LILRB1;FCGR2B
Neuron Fate Specification (GO:0048665)	2/8	0.0027839903939959804	0.07109883160051274	0	0	32.65676567656766	192.14816343516293	DLL1;ISL1
Synapse Pruning (GO:0098883)	2/8	0.0027839903939959804	0.07109883160051274	0	0	32.65676567656766	192.14816343516293	ITGAM;TREM2
Regulation of Chemotaxis (GO:0050920)	3/30	0.0034656778669152704	0.08584758426834752	0	0	10.928137092316197	61.90622498238376	GPR183;TREM2;KIF21A
Regulation of CD8-positive, Alpha-Beta T Cell Activation (GO:2001185)	2/9	0.0035554345894270433	0.08584758426834752	0	0	27.99009900990099	157.84394888758456	CRTAM;LILRB1
Negative Regulation of Cholesterol Storage (GO:0010887)	2/9	0.0035554345894270433	0.08584758426834752	0	0	27.99009900990099	157.84394888758456	PPARG;TREM2
Determination of Bilateral Symmetry (GO:0009855)	3/31	0.0038084506021276838	0.09031468570759936	0	0	10.537313432835822	58.698450508894936	DNAH5;DLL1;DNAI1
Retinoid Metabolic Process (GO:0001523)	4/64	0.004142577936042912	0.09232200261149014	0	0	6.578666666666667	36.09344017823626	AKR1B10;ADH1C;CYP1A1;CYP1B1
Positive Regulation of Phagocytosis (GO:0050766)	4/64	0.004142577936042912	0.09232200261149014	0	0	6.578666666666667	36.09344017823626	FCN1;CCL2;TREM2;FCGR2B
Regulation of Macrophage Derived Foam Cell Differentiation (GO:0010743)	3/32	0.004171174816784193	0.09232200261149014	0	0	10.173443129181678	55.74596713044938	LPL;PPARG;CD36
Bile Acid Metabolic Process (GO:0008206)	3/32	0.004171174816784193	0.09232200261149014	0	0	10.173443129181678	55.74596713044938	OSBPL6;UGT2A1;SLC27A2
Cellular Response to Oxidised Low-Density Lipoprotein Particle Stimulus (GO:0140052)	2/10	0.004414540647712871	0.09455661258326924	0	0	24.49009900990099	132.80617000141103	TREM2;CD36
Long-Chain Fatty Acid Import Into Cell (GO:0044539)	2/10	0.004414540647712871	0.09455661258326924	0	0	24.49009900990099	132.80617000141103	CD36;SLC27A2
Positive Regulation of ERK1 and ERK2 Cascade (GO:0070374)	6/153	0.004889092620799432	0.10287442586358535	0	0	4.05050505050505	21.551718877612927	GPNMB;GPR183;ALOX15;TREM2;CD36;FGFR3
Regulation of Response to Biotic Stimulus (GO:0002831)	3/34	0.004957803656076403	0.10287442586358535	0	0	9.516129032258064	50.50012167867984	TREM2;CD36;FCGR2B
Regulation of Dendritic Cell Differentiation (GO:2001198)	2/11	0.0053594577958809494	0.1062292530288045	0	0	21.76787678767877	113.82188694681741	LILRB1;FCGR2B
Lipid Import Into Cell (GO:0140354)	2/11	0.0053594577958809494	0.1062292530288045	0	0	21.76787678767877	113.82188694681741	CD36;SLC27A2
Regulation of Adipose Tissue Development (GO:1904177)	2/11	0.0053594577958809494	0.1062292530288045	0	0	21.76787678767877	113.82188694681741	LPL;PPARG
Cellular Response to Amyloid-Beta (GO:1904646)	3/36	0.00582805271797298	0.11216889868794373	0	0	8.938489371325192	45.98917447095539	TREM2;CD36;FCGR2B
Left/Right Pattern Formation (GO:0060972)	3/36	0.00582805271797298	0.11216889868794373	0	0	8.938489371325192	45.98917447095539	DNAH5;DLL1;DNAI1
Axonemal Dynein Complex Assembly (GO:0070286)	3/37	0.006295242804464661	0.119429749204701	0	0	8.67515364354697	43.96534069215056	DNAH5;DAW1;DNAI1
Wound Healing, Spreading of Epidermal Cells (GO:0035313)	2/12	0.0063883635667253465	0.11948939178325718	0	0	19.59009900990099	98.99419942329884	MMP12;ITGA5
Negative Regulation of Endothelial Cell Proliferation (GO:0001937)	3/38	0.0067841568440429574	0.12341589436834313	0	0	8.42686567164179	42.07673293126136	SPARC;CCL2;PPARG
Regulation of Sprouting Angiogenesis (GO:1903670)	3/38	0.0067841568440429574	0.12341589436834313	0	0	8.42686567164179	42.07673293126136	PPP1R16B;ITGA5;DLL1
Fatty Acid Transport (GO:0015908)	3/39	0.007295036475660284	0.1309163302659035	0	0	8.192371475953566	40.31106437617102	FABP3;PPARG;CD36
Regulation of Pattern Recognition Receptor Signaling Pathway (GO:0062207)	2/13	0.007499463418107064	0.13104325551639712	0	0	17.808280828082808	87.13456119433339	TREM2;CD36
Lipid Oxidation (GO:0034440)	2/13	0.007499463418107064	0.13104325551639712	0	0	17.808280828082808	87.13456119433339	ALOX15;PLA2G7
Cellular Response to Molecule of Bacterial Origin (GO:0071219)	5/123	0.00860865667249079	0.1460966481255985	0	0	4.190017886040371	19.92348054508157	CXCL6;LY96;CCL2;LILRB1;FCGR2B
Bone Morphogenesis (GO:0060349)	2/14	0.008690990362893284	0.1460966481255985	0	0	16.323432343234323	77.46233204422032	FGFR3;LTF
Lipoprotein Transport (GO:0042953)	2/14	0.008690990362893284	0.1460966481255985	0	0	16.323432343234323	77.46233204422032	PPARG;CD36
Negative Regulation of Neuron Apoptotic Process (GO:0043524)	4/81	0.009490668236068358	0.1503236330002249	0	0	5.121818181818182	23.85459290498654	TOX3;PTPRZ1;CCL2;ISL1
Positive Regulation of Angiogenesis (GO:0045766)	5/126	0.00949651398394806	0.1503236330002249	0	0	4.08551019560613	19.025528473787993	SFRP2;CYP1B1;ITGA5;ISL1;DLL1
Negative Regulation of Apoptotic Process (GO:0043066)	11/475	0.009781379806998126	0.1503236330002249	0	0	2.374620332320886	10.98802063412238	FANK1;TOX3;BCL2A1;PTPRZ1;CLEC5A;CCL2;TREM2;ITGA5;ISL1;DLL1;LTF
Positive Regulation of Tumor Necrosis Factor Production (GO:0032760)	4/82	0.009899502369886749	0.1503236330002249	0	0	5.055897435897436	23.33433574692954	LPL;LY96;FCGR2B;ISL1
T Cell Proliferation (GO:0042098)	2/15	0.009961204596400444	0.1503236330002249	0	0	15.067022086824068	69.44476770588811	CRTAM;LILRB1
Regulation of Peptidase Activity (GO:0052547)	2/15	0.009961204596400444	0.1503236330002249	0	0	15.067022086824068	69.44476770588811	SERPINB3;SERPINB4
Astrocyte Development (GO:0014002)	2/15	0.009961204596400444	0.1503236330002249	0	0	15.067022086824068	69.44476770588811	TREM2;DLL1
Gas Transport (GO:0015669)	2/15	0.009961204596400444	0.1503236330002249	0	0	15.067022086824068	69.44476770588811	CA2;MB
Lipoprotein Localization (GO:0044872)	2/15	0.009961204596400444	0.1503236330002249	0	0	15.067022086824068	69.44476770588811	PPARG;CD36
Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	4/85	0.011194039136373107	0.1642662163133659	0	0	4.867901234567901	21.86843227056263	LPL;LY96;FCGR2B;ISL1
Neuron Fate Commitment (GO:0048663)	2/16	0.011308393132852779	0.1642662163133659	0	0	13.990099009900991	62.7065627163399	DLL1;ISL1
Epoxygenase P450 Pathway (GO:0019373)	2/16	0.011308393132852779	0.1642662163133659	0	0	13.990099009900991	62.7065627163399	CYP1B1;CYP2F1
Regulation of Interleukin-10 Production (GO:0032653)	3/46	0.011503582919535415	0.1642662163133659	0	0	6.85629989586949	30.614042271799896	LILRB1;FCGR2B;DLL1
Mononuclear Cell Differentiation (GO:1903131)	3/46	0.011503582919535415	0.1642662163133659	0	0	6.85629989586949	30.614042271799896	TREM2;LILRB1;PPARG
Integrin-Mediated Signaling Pathway (GO:0007229)	4/86	0.011648596611565292	0.1645674074484969	0	0	4.8082926829268295	21.409257677658704	COL3A1;ITGAM;ADAMTS1;ITGA5
Negative Regulation of Cytokine Production (GO:0001818)	6/191	0.01377484401198791	0.1872843942787107	0	0	3.212285012285012	13.764356180924738	GPNMB;TREM2;LILRB1;VSIG4;FCGR2B;DLL1
Regulation of Vascular Endothelial Cell Proliferation (GO:1905562)	2/18	0.014226973088961481	0.1872843942787107	0	0	12.240099009900991	52.052436030078844	CCL2;PPARG
Positive Regulation of Sprouting Angiogenesis (GO:1903672)	2/18	0.014226973088961481	0.1872843942787107	0	0	12.240099009900991	52.052436030078844	ITGA5;DLL1
Linoleic Acid Metabolic Process (GO:0043651)	2/18	0.014226973088961481	0.1872843942787107	0	0	12.240099009900991	52.052436030078844	ALOX15;GSTA1
Mesenchyme Development (GO:0060485)	2/18	0.014226973088961481	0.1872843942787107	0	0	12.240099009900991	52.052436030078844	SFRP2;ISL1
Regulation of Adaptive Immune Response (GO:0002819)	2/18	0.014226973088961481	0.1872843942787107	0	0	12.240099009900991	52.052436030078844	ALOX15;FCGR2B
Positive Regulation of Fat Cell Differentiation (GO:0045600)	3/50	0.014419770490905719	0.1872843942787107	0	0	6.271514766592569	26.585923577223326	SFRP2;LPL;PPARG
Lipid Modification (GO:0030258)	3/50	0.014419770490905719	0.1872843942787107	0	0	6.271514766592569	26.585923577223326	ALOX15;CYP1A1;PLA2G7
Positive Regulation of Nervous System Development (GO:0051962)	3/51	0.015208161287497678	0.1872843942787107	0	0	6.140547263681592	25.703858443734134	MMP12;RASSF10;SLITRK6
Negative Regulation of T Cell Activation (GO:0050868)	3/51	0.015208161287497678	0.1872843942787107	0	0	6.140547263681592	25.703858443734134	GPNMB;LILRB1;VSIG4
Positive Regulation of Apoptotic Process (GO:0043065)	8/313	0.015291003039583684	0.1872843942787107	0	0	2.60836400133824	10.904241345927582	FANK1;SFRP2;BCL2A1;CYP1B1;CCL2;PPARG;LILRB1;PHLDA1
Negative Regulation of Endopeptidase Activity (GO:0010951)	2/19	0.015795069396999695	0.1872843942787107	0	0	11.519510774606873	47.78359250200557	SERPINB3;TIMP3
Negative Regulation of Lipid Storage (GO:0010888)	2/19	0.015795069396999695	0.1872843942787107	0	0	11.519510774606873	47.78359250200557	TREM2;PPARG
Signaling Receptor Ligand Precursor Processing (GO:0140448)	2/19	0.015795069396999695	0.1872843942787107	0	0	11.519510774606873	47.78359250200557	MMP12;PLA2G7
Positive Regulation of Hormone Secretion (GO:0046887)	2/19	0.015795069396999695	0.1872843942787107	0	0	11.519510774606873	47.78359250200557	GPNMB;PPARG
Positive Regulation of Macrophage Derived Foam Cell Differentiation (GO:0010744)	2/19	0.015795069396999695	0.1872843942787107	0	0	11.519510774606873	47.78359250200557	LPL;CD36
Host-Mediated Suppression of Symbiont Invasion (GO:0046597)	2/19	0.015795069396999695	0.1872843942787107	0	0	11.519510774606873	47.78359250200557	FCN1;PTX3
Microglial Cell Activation (GO:0001774)	2/19	0.015795069396999695	0.1872843942787107	0	0	11.519510774606873	47.78359250200557	ITGAM;TREM2
Unsaturated Fatty Acid Metabolic Process (GO:0033559)	3/53	0.016856745835394944	0.19620129808530692	0	0	5.894328358208956	24.066568362183276	ALOX15;GSTA1;CYP1B1
Cellular Response to Oxygen-Containing Compound (GO:1901701)	9/384	0.01737200174129508	0.19620129808530692	0	0	2.390276923076923	9.68754249941883	CXCL6;LY96;LPL;CCL2;LILRB1;TREM2;CD36;FCGR2B;RYR3
Regulation of Fatty Acid Metabolic Process (GO:0019217)	2/20	0.01743354907685709	0.19620129808530692	0	0	10.878987898789878	44.05292561489402	FABP3;PPARG
Negative Regulation of Leukocyte Mediated Cytotoxicity (GO:0001911)	2/20	0.01743354907685709	0.19620129808530692	0	0	10.878987898789878	44.05292561489402	LILRB1;FCGR2B
Cilium Movement Involved in Cell Motility (GO:0060294)	2/20	0.01743354907685709	0.19620129808530692	0	0	10.878987898789878	44.05292561489402	DNAH5;TEKT1
Positive Regulation of Macrophage Migration (GO:1905523)	2/20	0.01743354907685709	0.19620129808530692	0	0	10.878987898789878	44.05292561489402	CCL2;TREM2
Sensory Perception of Pain (GO:0019233)	2/21	0.01914082790380087	0.21360520551468534	0	0	10.3058884835852	40.76939031744604	MMP12;CCL2
Positive Regulation of Interleukin-1 Beta Production (GO:0032731)	3/56	0.019510004118453834	0.21591071224422242	0	0	5.5598422979442415	21.888142351829547	LPL;CD36;ISL1
Negative Regulation of Natural Killer Cell Mediated Cytotoxicity (GO:0045953)	2/22	0.020915346369852938	0.22264436634891152	0	0	9.79009900990099	37.86097688832336	SERPINB4;LILRB1
Regulation of Neural Precursor Cell Proliferation (GO:2000177)	2/22	0.020915346369852938	0.22264436634891152	0	0	9.79009900990099	37.86097688832336	PTPRZ1;RASSF10
Positive Regulation of Cholesterol Efflux (GO:0010875)	2/22	0.020915346369852938	0.22264436634891152	0	0	9.79009900990099	37.86097688832336	TREM2;PPARG
Modulation by Host of Viral Process (GO:0044788)	2/22	0.020915346369852938	0.22264436634891152	0	0	9.79009900990099	37.86097688832336	PTX3;LTF
Intracellular Monoatomic Cation Homeostasis (GO:0030003)	6/210	0.020956736290371942	0.22264436634891152	0	0	2.9102792632204397	11.249088300872755	CCL13;CCL8;CCL7;TMPRSS3;ATP12A;CP
Positive Regulation of Type II Interferon Production (GO:0032729)	3/58	0.021399548630225574	0.2255444490550759	0	0	5.357123473541384	20.59484753136975	CRTAM;LILRB1;ISL1
Cellular Response to Calcium Ion (GO:0071277)	3/59	0.022380592618769304	0.2289348188052822	0	0	5.2611940298507465	19.990228157543854	ALOX15;CHP2;RYR3
Negative Regulation of Osteoclast Differentiation (GO:0045671)	2/23	0.022755569339079254	0.2289348188052822	0	0	9.323432343234323	35.27003509816899	LILRB1;LTF
Negative Regulation of Peptidase Activity (GO:0010466)	2/23	0.022755569339079254	0.2289348188052822	0	0	9.323432343234323	35.27003509816899	SERPINB3;SERPINB4
T-helper Cell Differentiation (GO:0042093)	2/23	0.022755569339079254	0.2289348188052822	0	0	9.323432343234323	35.27003509816899	GPR183;MYB
Dendritic Cell Differentiation (GO:0097028)	2/23	0.022755569339079254	0.2289348188052822	0	0	9.323432343234323	35.27003509816899	LILRB1;TREM2
Monocyte Chemotaxis (GO:0002548)	2/23	0.022755569339079254	0.2289348188052822	0	0	9.323432343234323	35.27003509816899	CCL7;CCL2
Steroid Metabolic Process (GO:0008202)	4/106	0.023316767274042017	0.23281704466111128	0	0	3.86156862745098	14.514024465411966	CYP1A1;CYP1B1;UGT2A1;SLC27A2
Epithelium Development (GO:0060429)	5/159	0.023681560684290923	0.23469487006521153	0	0	3.2046596619460943	11.995228791911462	EHF;KRT15;GSTA1;PPARG;DLL1
Regulation of Lipid Storage (GO:0010883)	2/24	0.024659985733220903	0.23903986170596614	0	0	8.8991899189919	32.94990351773024	LPL;PPARG
Osteoclast Differentiation (GO:0030316)	2/24	0.024659985733220903	0.23903986170596614	0	0	8.8991899189919	32.94990351773024	GPR183;TREM2
Regulation of Cholesterol Transport (GO:0032374)	2/24	0.024659985733220903	0.23903986170596614	0	0	8.8991899189919	32.94990351773024	OSBPL6;PPARG
Regulation of Cell Migration (GO:0030334)	10/479	0.025576610958697902	0.24612854603732473	0	0	2.1241729496845667	7.787381551401872	SERPINB3;CCL13;SFRP2;CCL8;GPNMB;CCL7;CYP1B1;CCL2;PHACTR1;KRT5
Positive Regulation of Interleukin-1 Production (GO:0032732)	3/63	0.02654653629560089	0.24668524699136873	0	0	4.909452736318408	17.815697016356694	LPL;CD36;ISL1
Regulation of Membrane Protein Ectodomain Proteolysis (GO:0051043)	2/25	0.026627108198951973	0.24668524699136873	0	0	8.511838140335772	30.86243958452893	TIMP3;PTPN3
Bile Acid Biosynthetic Process (GO:0006699)	2/25	0.026627108198951973	0.24668524699136873	0	0	8.511838140335772	30.86243958452893	OSBPL6;SLC27A2
Regulation of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)	2/25	0.026627108198951973	0.24668524699136873	0	0	8.511838140335772	30.86243958452893	ITGA5;DLL1
Long-Chain Fatty Acid Biosynthetic Process (GO:0042759)	2/25	0.026627108198951973	0.24668524699136873	0	0	8.511838140335772	30.86243958452893	ALOX15;CYP1A1
External Encapsulating Structure Organization (GO:0045229)	4/111	0.027041029646384804	0.24668524699136873	0	0	3.6801869158878504	13.286946656721517	MMP12;COL15A1;COL3A1;ADAMTS1
Extracellular Structure Organization (GO:0043062)	4/111	0.027041029646384804	0.24668524699136873	0	0	3.6801869158878504	13.286946656721517	MMP12;COL15A1;COL3A1;ADAMTS1
Regulation of ERK1 and ERK2 Cascade (GO:0070372)	6/223	0.027120516612002887	0.24668524699136873	0	0	2.7341153470185726	9.863224783218472	GPNMB;GPR183;ALOX15;TREM2;CD36;FGFR3
Monocarboxylic Acid Biosynthetic Process (GO:0072330)	3/64	0.027648372303437	0.2497757715575805	0	0	4.828725226327379	17.32637594343963	OSBPL6;LPL;SLC27A2
Regulation of Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0030947)	2/26	0.028655472782532877	0.25712478280543016	0	0	8.156765676567657	28.976182743409304	ITGA5;DLL1
Regulation of Interleukin-6 Production (GO:0032675)	4/114	0.029436747725301284	0.2623624226791953	0	0	3.5792727272727274	12.618767027453668	GPNMB;LPL;TREM2;ISL1
Regulation of Neurogenesis (GO:0050767)	3/66	0.029924226661223532	0.26492915337403233	0	0	4.674958540630183	16.404835634765753	MMP12;RASSF10;DLL1
Negative Regulation of Lymphocyte Activation (GO:0051250)	2/27	0.0307436386090805	0.2651139744990838	0	0	7.83009900990099	27.264969933974623	GPNMB;FCGR2B
Cilium-Dependent Cell Motility (GO:0060285)	2/27	0.0307436386090805	0.2651139744990838	0	0	7.83009900990099	27.264969933974623	DNAH5;TEKT1
Wound Healing, Spreading of Cells (GO:0044319)	2/27	0.0307436386090805	0.2651139744990838	0	0	7.83009900990099	27.264969933974623	MMP12;ITGA5
Positive Regulation of Vascular Endothelial Growth Factor Production (GO:0010575)	2/27	0.0307436386090805	0.2651139744990838	0	0	7.83009900990099	27.264969933974623	CYP1B1;ISL1
Regulation of Cytokine Production (GO:0001817)	5/172	0.031763163645143866	0.27213858916613587	0	0	2.9532392501429303	10.18704533292951	GPNMB;CRTAM;TREM2;FCGR2B;LTF
Regulation of T Cell Activation (GO:0050863)	3/68	0.03229598716730943	0.27377554322826636	0	0	4.530654420206659	15.552886188013064	GPNMB;CRTAM;CCL2
Regulation of Toll-Like Receptor 4 Signaling Pathway (GO:0034143)	2/28	0.032890187566650485	0.27377554322826636	0	0	7.528560548362528	25.706879173013117	TREM2;LTF
Positive Regulation of Cholesterol Transport (GO:0032376)	2/28	0.032890187566650485	0.27377554322826636	0	0	7.528560548362528	25.706879173013117	TREM2;PPARG
Glycosaminoglycan Metabolic Process (GO:0030203)	2/28	0.032890187566650485	0.27377554322826636	0	0	7.528560548362528	25.706879173013117	CHST9;HS3ST2
Positive Regulation of Cell Differentiation (GO:0045597)	7/297	0.033089384387716816	0.27377554322826636	0	0	2.390022755119902	8.146494761546847	SERPINB3;SFRP2;LPL;PPARG;CD36;ISL1;LTF
